"word" "n" "prob"
"1" "the" 46391 0.0307278277901015
"2" "to" 39420 0.0261104733997068
"3" "i" 35692 0.0236411724145697
"4" "a" 30746 0.0203651094659408
"5" "you" 27257 0.0180541139892392
"6" "and" 21859 0.0144786615434853
"7" "for" 19174 0.0127002084466255
"8" "in" 18647 0.0123511414886944
"9" "is" 18101 0.0119894895740257
"10" "of" 17997 0.0119206034950412
"11" "it" 14576 0.00965464891613716
"12" "my" 14433 0.00955993055753345
"13" "on" 13980 0.00925987869426437
"14" "that" 11621 0.00769735696037527
"15" "me" 10103 0.00669188515365901
"16" "at" 9277 0.00614477071864739
"17" "be" 9238 0.0061189384390282
"18" "with" 8787 0.00582021130804729
"19" "have" 8519 0.00564269718143335
"20" "your" 8456 0.00560096811435619
"21" "so" 8229 0.00545061099964961
"22" "this" 8198 0.00543007764918307
"23" "are" 7845 0.00519626240032217
"24" "just" 7501 0.00496840844675802
"25" "we" 6595 0.00436830472021985
"26" "i'm" 6565 0.0043484337358974
"27" "but" 6437 0.00426365086945492
"28" "not" 6177 0.00409143567199364
"29" "like" 6143 0.00406891522309485
"30" "all" 6086 0.00403116035288219
"31" "up" 5863 0.00388345270275193
"32" "out" 5738 0.0038006569347417
"33" "what" 5644 0.00373839451719801
"34" "was" 5585 0.00369931491469718
"35" "get" 5567 0.0036873923241037
"36" "do" 5500 0.00364301379245022
"37" "if" 5364 0.00355293199685509
"38" "love" 5324 0.00352643735109181
"39" "good" 5084 0.00336746947651217
"40" "will" 4745 0.00314292735366842
"41" "day" 4721 0.00312703056621045
"42" "about" 4589 0.00303959823519165
"43" "rt" 4547 0.00301177885714021
"44" "thanks" 4518 0.00299257023896183
"45" "can" 4490 0.00297402398692754
"46" "it's" 4331 0.00286870777001853
"47" "from" 4194 0.00277796360827931
"48" "now" 4187 0.00277332704527074
"49" "one" 4122 0.00273027324590542
"50" "when" 4094 0.00271172699387113
"51" "know" 4026 0.00266668609607356
"52" "time" 3921 0.00259713765094496
"53" "great" 3907 0.00258786452492782
"54" "u" 3907 0.00258786452492782
"55" "no" 3894 0.00257925376505475
"56" "how" 3861 0.00255739568230005
"57" "don't" 3826 0.00253421286725719
"58" "go" 3635 0.00240770093373755
"59" "today" 3616 0.002395115977
"60" "they" 3562 0.00235934820521958
"61" "new" 3551 0.00235206217763468
"62" "as" 3521 0.00233219119331222
"63" "or" 3481 0.00230569654754895
"64" "lol" 3460 0.00229178685852323
"65" "an" 3373 0.00223416100398811
"66" "see" 3353 0.00222091368110647
"67" "more" 3219 0.0021321566177995
"68" "our" 3107 0.00205797160966233
"69" "there" 3046 0.00201756727487334
"70" "by" 2978 0.00197252637707577
"71" "back" 2948 0.00195265539275332
"72" "too" 2928 0.00193940806987168
"73" "some" 2920 0.00193410914071903
"74" "he" 2812 0.00186257359715818
"75" "who" 2778 0.0018400531482594
"76" "got" 2760 0.00182813055766593
"77" "â" 2712 0.00179633698275
"78" "going" 2693 0.00178375202601244
"79" "think" 2677 0.00177315416770713
"80" "3" 2667 0.00176653050626631
"81" "would" 2598 0.00172082724232467
"82" "people" 2591 0.00171619067931609
"83" "need" 2587 0.00171354121473977
"84" "us" 2490 0.00164929169876383
"85" "make" 2462 0.00163074544672953
"86" "want" 2449 0.00162213468685647
"87" "happy" 2444 0.00161882285613606
